timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734359180995,47,Carga/generate_204-96,204,No Content,Carga Compra 1-1,,true,,127,310,1,1,http://www.gstatic.com/generate_204,0,0,27
1734359181050,34,Carga/generate_204-96,204,No Content,Carga Compra 1-2,,true,,127,310,2,2,http://www.gstatic.com/generate_204,0,0,16
1734359181096,42,Carga/generate_204-96,204,No Content,Carga Compra 1-3,,true,,127,310,3,3,http://www.gstatic.com/generate_204,0,0,21
1734359181144,38,Carga/generate_204-96,204,No Content,Carga Compra 1-4,,true,,127,310,4,4,http://www.gstatic.com/generate_204,0,0,19
1734359181198,33,Carga/generate_204-96,204,No Content,Carga Compra 1-5,,true,,127,310,5,5,http://www.gstatic.com/generate_204,0,0,17
1734359181245,38,Carga/generate_204-96,204,No Content,Carga Compra 1-6,,true,,127,310,6,6,http://www.gstatic.com/generate_204,0,0,19
1734359181295,37,Carga/generate_204-96,204,No Content,Carga Compra 1-7,,true,,127,310,7,7,http://www.gstatic.com/generate_204,0,0,18
1734359181344,38,Carga/generate_204-96,204,No Content,Carga Compra 1-8,,true,,127,310,8,8,http://www.gstatic.com/generate_204,0,0,19
1734359181396,34,Carga/generate_204-96,204,No Content,Carga Compra 1-9,,true,,127,310,9,9,http://www.gstatic.com/generate_204,0,0,17
1734359181445,42,Carga/generate_204-96,204,No Content,Carga Compra 1-10,,true,,127,310,10,10,http://www.gstatic.com/generate_204,0,0,21
1734359181494,42,Carga/generate_204-96,204,No Content,Carga Compra 1-11,,true,,127,310,11,11,http://www.gstatic.com/generate_204,0,0,21
1734359181544,39,Carga/generate_204-96,204,No Content,Carga Compra 1-12,,true,,127,310,12,12,http://www.gstatic.com/generate_204,0,0,19
1734359181593,34,Carga/generate_204-96,204,No Content,Carga Compra 1-13,,true,,127,310,13,13,http://www.gstatic.com/generate_204,0,0,16
1734359181645,38,Carga/generate_204-96,204,No Content,Carga Compra 1-14,,true,,127,310,14,14,http://www.gstatic.com/generate_204,0,0,19
