timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734358768779,96,Carga/generate_204-96,204,No Content,Carga Compra 1-1,,true,,127,310,2,2,http://www.gstatic.com/generate_204,0,0,45
1734358768834,110,Carga/generate_204-96,204,No Content,Carga Compra 1-2,,true,,127,310,4,4,http://www.gstatic.com/generate_204,0,0,57
1734358768882,81,Carga/generate_204-96,204,No Content,Carga Compra 1-3,,true,,127,310,4,4,http://www.gstatic.com/generate_204,0,0,62
1734358768922,91,Carga/generate_204-96,204,No Content,Carga Compra 1-4,,true,,127,310,5,5,http://www.gstatic.com/generate_204,0,0,36
1734358768974,107,Carga/generate_204-96,204,No Content,Carga Compra 1-5,,true,,127,310,7,7,http://www.gstatic.com/generate_204,0,0,55
1734358769024,74,Carga/generate_204-96,204,No Content,Carga Compra 1-6,,true,,127,310,7,7,http://www.gstatic.com/generate_204,0,0,57
1734358769072,79,Carga/generate_204-96,204,No Content,Carga Compra 1-7,,true,,127,310,8,8,http://www.gstatic.com/generate_204,0,0,26
1734358769122,97,Carga/generate_204-96,204,No Content,Carga Compra 1-8,,true,,127,310,9,9,http://www.gstatic.com/generate_204,0,0,46
1734358769173,62,Carga/generate_204-96,204,No Content,Carga Compra 1-9,,true,,127,310,10,10,http://www.gstatic.com/generate_204,0,0,46
1734358769223,62,Carga/generate_204-96,204,No Content,Carga Compra 1-10,,true,,127,310,11,11,http://www.gstatic.com/generate_204,0,0,15
1734358769272,66,Carga/generate_204-96,204,No Content,Carga Compra 1-11,,true,,127,310,12,12,http://www.gstatic.com/generate_204,0,0,29
1734358769324,47,Carga/generate_204-96,204,No Content,Carga Compra 1-12,,true,,127,310,13,13,http://www.gstatic.com/generate_204,0,0,30
1734358769372,35,Carga/generate_204-96,204,No Content,Carga Compra 1-13,,true,,127,310,13,13,http://www.gstatic.com/generate_204,0,0,17
1734358769421,36,Carga/generate_204-96,204,No Content,Carga Compra 1-14,,true,,127,310,14,14,http://www.gstatic.com/generate_204,0,0,18
1734358769472,35,Carga/generate_204-96,204,No Content,Carga Compra 1-15,,true,,127,310,15,15,http://www.gstatic.com/generate_204,0,0,17
1734358769521,37,Carga/generate_204-96,204,No Content,Carga Compra 1-16,,true,,127,310,16,16,http://www.gstatic.com/generate_204,0,0,18
