timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734350335864,39,Carga/generate_204-96,204,No Content,Carga Loguin 1-1,,true,,127,310,1,1,http://www.gstatic.com/generate_204,0,0,22
1734350335924,32,Carga/generate_204-96,204,No Content,Carga Loguin 1-2,,true,,127,310,2,2,http://www.gstatic.com/generate_204,0,0,16
1734350335972,33,Carga/generate_204-96,204,No Content,Carga Loguin 1-3,,true,,127,310,3,3,http://www.gstatic.com/generate_204,0,0,17
1734350336020,33,Carga/generate_204-96,204,No Content,Carga Loguin 1-4,,true,,127,310,4,4,http://www.gstatic.com/generate_204,0,0,16
1734350336067,33,Carga/generate_204-96,204,No Content,Carga Loguin 1-5,,true,,127,310,5,5,http://www.gstatic.com/generate_204,0,0,15
1734350336114,36,Carga/generate_204-96,204,No Content,Carga Loguin 1-6,,true,,127,310,6,6,http://www.gstatic.com/generate_204,0,0,18
1734350336177,36,Carga/generate_204-96,204,No Content,Carga Loguin 1-7,,true,,127,310,7,7,http://www.gstatic.com/generate_204,0,0,18
1734350336225,32,Carga/generate_204-96,204,No Content,Carga Loguin 1-8,,true,,127,310,8,8,http://www.gstatic.com/generate_204,0,0,16
1734350336274,37,Carga/generate_204-96,204,No Content,Carga Loguin 1-9,,true,,127,310,9,9,http://www.gstatic.com/generate_204,0,0,19
1734350336323,36,Carga/generate_204-96,204,No Content,Carga Loguin 1-10,,true,,127,310,10,10,http://www.gstatic.com/generate_204,0,0,18
1734350336370,32,Carga/generate_204-96,204,No Content,Carga Loguin 1-11,,true,,127,310,11,11,http://www.gstatic.com/generate_204,0,0,16
1734350336425,36,Carga/generate_204-96,204,No Content,Carga Loguin 1-12,,true,,127,310,12,12,http://www.gstatic.com/generate_204,0,0,18
1734350336473,32,Carga/generate_204-96,204,No Content,Carga Loguin 1-13,,true,,127,310,13,13,http://www.gstatic.com/generate_204,0,0,16
1734350336520,33,Carga/generate_204-96,204,No Content,Carga Loguin 1-14,,true,,127,310,14,14,http://www.gstatic.com/generate_204,0,0,16
1734350336568,31,Carga/generate_204-96,204,No Content,Carga Loguin 1-15,,true,,127,310,15,15,http://www.gstatic.com/generate_204,0,0,15
1734350335904,739,Carga/actions/Catalog.action-97,200,,Carga Loguin 1-1,text,true,,5664,789,16,16,https://petstore.octoperf.com/actions/Catalog.action,739,0,555
1734350336616,33,Carga/generate_204-96,204,No Content,Carga Loguin 1-16,,true,,127,310,16,16,http://www.gstatic.com/generate_204,0,0,17
